wave,degradation,level,parameter,post_mean,post_sd,ci_lo,ci_hi,ci_width,base_mean,base_ci_lo,base_ci_hi,base_width,mean_shift,mean_shift_pct,ci_width_ratio,coverage,level_num
wave1,Systematic,0.5,Beta1,0.5030030024274991,0.032062747262525254,0.44569666325709173,0.5667011414187764,0.12100447816168464,0.5284160492618926,0.4644648452778266,0.6017606198665374,0.13729577458871078,-0.025413046834393493,-4.809287467685965,0.881341603732314,TRUE,0.5
wave1,Systematic,0.5,Beta2,0.13802814446975653,0.0069106222230586305,0.12492219502511928,0.15168446339597902,0.026762268370859738,0.13705098035032395,0.12405495081983131,0.15223970827148692,0.028184757451655607,9.771641194325775e-4,0.7129931627886147,0.949529844873215,TRUE,0.5
wave1,Systematic,0.5,Beta3,0.16944186895308147,0.006194807130773415,0.15726858457943482,0.1818806529879143,0.024612068408479487,0.17065699047510807,0.15801457627129864,0.18408432091368088,0.026069744642382237,-0.001215121522026602,-0.7120256361275977,0.9440855192907042,TRUE,0.5
wave1,Systematic,0.5,rho_y,0.04256359724797108,0.008190312882659336,0.028535972938348114,0.060197019137208874,0.03166104619886076,0.07300834689715849,0.04942372231657174,0.10287482181252733,0.05345109949595559,-0.030444749649187405,-41.70036844153271,0.5923366684207574,FALSE,0.5
wave1,Systematic,0.5,rho_o,0.21095888094746,0.040933205041179956,0.13856657048972343,0.295623864805686,0.15705729431596255,0.35791185228124206,0.2387890706220669,0.503270871055416,0.2644818004333491,-0.14695297133378207,-41.05842553051541,0.5938302524356184,FALSE,0.5
wave1,Stochastic,0.1,Beta1,0.5232726159958867,0.03176288032596179,0.4598093288957351,0.5881375340156626,0.12832820511992749,0.5284160492618926,0.4644648452778266,0.6017606198665374,0.13729577458871078,-0.005143433266005859,-0.9733681013645141,0.934684301132741,TRUE,0.1
wave1,Stochastic,0.1,Beta2,0.13718748023875205,0.007052301439943767,0.12408184752981077,0.15168302147027374,0.027601173940462964,0.13705098035032395,0.12405495081983131,0.15223970827148692,0.028184757451655607,1.3649988842809324e-4,0.09959789275434439,0.9792943575195336,TRUE,0.1
wave1,Stochastic,0.1,Beta3,0.17056073997854287,0.006390237155523508,0.1580274986512192,0.18332084285760314,0.025293344206383933,0.17065699047510807,0.15801457627129864,0.18408432091368088,0.026069744642382237,-9.62504965651978e-5,-0.056399973008569394,0.9702183336795678,TRUE,0.1
wave1,Stochastic,0.1,rho_y,0.06718763907809525,0.012364197440381941,0.046452749976144056,0.09531613779900708,0.04886338782286302,0.07300834689715849,0.04942372231657174,0.10287482181252733,0.05345109949595559,-0.005820707819063242,-7.972660752423893,0.9141699288442195,TRUE,0.1
wave1,Stochastic,0.1,rho_o,0.33065865247410603,0.05879379100470757,0.2307951831750855,0.4610737682445668,0.23027858506948132,0.35791185228124206,0.2387890706220669,0.503270871055416,0.2644818004333491,-0.02725319980713603,-7.614500507158632,0.8706783782179855,TRUE,0.1
wave1,Stochastic,0.3,Beta1,0.515019235014624,0.033889471124643876,0.44943527248809406,0.5841813154008304,0.13474604291273634,0.5284160492618926,0.4644648452778266,0.6017606198665374,0.13729577458871078,-0.013396814247268574,-2.535277697560785,0.9814289137184845,TRUE,0.3
wave1,Stochastic,0.3,Beta2,0.13679787463356005,0.0074015526436140185,0.12243024610561949,0.15211903083072215,0.029688784725102654,0.13705098035032395,0.12405495081983131,0.15223970827148692,0.028184757451655607,-2.531057167639017e-4,-0.18467997537626035,1.053363144104641,TRUE,0.3
